datetime,open,high,low,close,volume
2010-01-04,9.79000,9.90000,9.68000,9.70000,18748700
2010-01-05,9.71000,9.90000,9.68000,9.71000,22145700
2010-01-06,9.68000,9.76000,9.55000,9.57000,18643400
2010-01-07,9.51000,9.55000,9.18000,9.47000,26806800
2010-01-08,9.37000,9.47000,9.29000,9.43000,13752800
2010-01-11,9.38000,9.44000,9.080000,9.14000,23700100
2010-01-12,8.89000,8.92000,8.52000,8.65000,33387100
2010-01-13,8.71000,9.20000,8.55000,9.15000,32741900
2010-01-14,9.18000,9.26000,8.92000,9,22556600
2010-01-15,9.13000,9.19000,8.80000,8.84000,34336600
2010-01-19,8.84000,9.21000,8.84000,9.010000,24866200
2010-01-20,8.98000,9,8.76000,8.87000,22813600
2010-01-21,9.010000,9.10000,8.77000,8.99000,37888700
2010-01-22,8.55000,8.56000,7.82000,7.88000,69136400
2010-01-25,8.010000,8.14000,7.93000,8.070000,20560000
2010-01-26,8.030000,8.19000,7.93000,8.090000,20946600
2010-01-27,8.030000,8.22000,7.91000,8.19000,26832700
2010-01-28,8.24000,8.25,7.71000,7.88000,32084100
2010-01-29,8.010000,8.10000,7.30000,7.46000,37457700
2010-02-01,7.61000,7.98000,7.53000,7.98000,25476400
2010-02-02,7.74000,7.96000,7.72000,7.91000,21110900
2010-02-03,7.83000,7.96000,7.76000,7.81000,14521900
2010-02-04,7.64000,7.65000,7.100000,7.19000,33172200
2010-02-05,7.13000,7.37000,6.98000,7.35000,28808300
2010-02-08,7.38000,7.62000,7.28000,7.42000,24304200
2010-02-09,7.59000,7.64000,7.42000,7.54000,19978100
2010-02-10,7.47000,7.71000,7.45000,7.64000,17269400
2010-02-11,7.67000,7.90000,7.60000,7.84000,14973100
2010-02-12,7.71000,8,7.65000,7.87000,21788000
2010-02-16,7.91000,8.14000,7.87000,8.060000,13579100
2010-02-17,8.11000,8.20000,7.94000,8.030000,12019200
2010-02-18,7.98000,8.080000,7.87000,7.95000,14677000
2010-02-19,7.82000,7.99000,7.82000,7.93000,8107300
2010-02-22,7.96000,8,7.83000,7.90000,9708700
2010-02-23,7.91000,7.94000,7.69000,7.79000,15566700
2010-02-24,7.78000,8.10000,7.77000,8.050000,16543800
2010-02-25,7.88000,7.89000,7.62000,7.89000,20955600
2010-02-26,7.83000,7.96000,7.68000,7.91000,17085200
2010-03-01,7.94000,8.25,7.94000,8.21000,14856000
2010-03-02,8.33000,8.60000,8.29000,8.38000,25506100
2010-03-03,8.44000,8.55000,8.28000,8.35000,14260800
2010-03-04,8.37000,8.5,8.28000,8.5,14448000
2010-03-05,8.55000,8.70000,8.48000,8.61000,14826400
2010-03-08,8.66000,8.69000,8.51000,8.64000,12760000
2010-03-09,8.5,8.69000,8.43000,8.63000,17664900
2010-03-10,8.60000,9.090000,8.59000,8.92000,23426900
2010-03-11,8.91000,9,8.74000,8.95000,15977800
2010-03-12,9.040000,9.040000,8.90000,8.93000,12802500
2010-03-15,8.88000,8.95000,8.80000,8.92000,11428900
2010-03-16,8.95000,9.42000,8.94000,9.40000,25356300
2010-03-17,9.47000,9.74000,9.42000,9.67000,23574800
2010-03-18,9.62000,9.66000,9.26000,9.39000,17772300
2010-03-19,9.11000,9.41000,9.10000,9.11000,15938000
2010-03-22,8.91000,9.32000,8.79000,9.31000,15101100
2010-03-23,9.34000,9.49000,9.26000,9.45000,10623200
2010-03-24,9.38000,9.38000,9.20000,9.23000,12096100
2010-03-25,9.35000,9.44000,9.020000,9.030000,15824100
2010-03-26,9.11000,9.19000,8.91000,9.020000,12158100
2010-03-29,9.080000,9.20000,9.060000,9.11000,9621900
2010-03-30,9.21000,9.28000,9.090000,9.27000,13451600
2010-03-31,9.15000,9.44000,9.13000,9.27000,12850100
2010-04-01,9.34000,9.49000,9.22000,9.37000,11757400
2010-04-05,9.47000,9.54000,9.42000,9.53000,10467800
2010-04-06,9.44000,9.49000,9.18000,9.35000,18738400
